Suburb,Offence,Alcohol,2014,2015,2016,2017,2018
Total NSW,Domestic violence related assault ,Alcohol Related ,"9,453","9,056","8,764","8,882","9,081"
Total NSW,Domestic violence related assault ,Not Alcohol Related ,"19,571","20,264","20,281","19,477","20,982"
Total NSW,Non-domestic violence related assault ,Alcohol Related ,"11,274","10,410","10,282","10,177","9,341"
Total NSW,Non-domestic violence related assault ,Not Alcohol Related ,"20,183","20,658","21,600","22,183","22,072"
Total NSW,Offensive conduct ,Alcohol Related ,"4,503","3,978","3,582","3,205","2,880"
Total NSW,Offensive conduct ,Not Alcohol Related ,"1,710","1,861","1,800","1,864","1,687"
Total NSW,Offensive language ,Alcohol Related ,"2,432","2,177","1,859","1,692","1,326"
Total NSW,Offensive language ,Not Alcohol Related ,"1,804","1,847","1,648","1,460","1,299"
Aarons Pass,Domestic violence related assault ,Alcohol Related ,0,1,0,0,0
Aarons Pass,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,1
Aarons Pass,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Aarons Pass,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Aarons Pass,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Aarons Pass,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Aarons Pass,Offensive language ,Alcohol Related ,0,0,0,0,0
Aarons Pass,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Abbotsbury,Domestic violence related assault ,Alcohol Related ,1,0,0,2,2
Abbotsbury,Domestic violence related assault ,Not Alcohol Related ,6,7,9,5,9
Abbotsbury,Non-domestic violence related assault ,Alcohol Related ,0,1,1,1,1
Abbotsbury,Non-domestic violence related assault ,Not Alcohol Related ,1,2,7,3,4
Abbotsbury,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Abbotsbury,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Abbotsbury,Offensive language ,Alcohol Related ,0,0,0,0,0
Abbotsbury,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Abbotsford,Domestic violence related assault ,Alcohol Related ,0,3,0,2,5
Abbotsford,Domestic violence related assault ,Not Alcohol Related ,5,5,5,5,1
Abbotsford,Non-domestic violence related assault ,Alcohol Related ,0,2,0,1,0
Abbotsford,Non-domestic violence related assault ,Not Alcohol Related ,2,3,3,2,1
Abbotsford,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Abbotsford,Offensive conduct ,Not Alcohol Related ,0,0,1,0,0
Abbotsford,Offensive language ,Alcohol Related ,0,0,0,0,0
Abbotsford,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Abercrombie,Domestic violence related assault ,Alcohol Related ,0,0,0,2,1
Abercrombie,Domestic violence related assault ,Not Alcohol Related ,5,0,3,4,2
Abercrombie,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
